Order ID,Order Date,Ship Date,Region,Category,Sub-Category,Sales,Profit,Quantity
US-2017-118038,2017-09-12,2017-11-12,Central,Office Supplies,Storage,27.24,2.724,3
US-2014-147606,2014-11-26,2014-01-12,Central,Furniture,Furnishings,19.3,-14.475,5
CA-2016-127208,2016-12-06,2016-06-15,South,Office Supplies,Appliances,208.16,56.2032,1
CA-2016-127208,2016-12-06,2016-06-15,South,Office Supplies,Binders,16.74,8.0352,3
CA-2014-139451,2014-12-10,2014-10-16,West,Office Supplies,Art,14.9,4.172,5
CA-2014-139451,2014-12-10,2014-10-16,West,Office Supplies,Storage,21.39,6.2031,1
CA-2015-149734,2015-03-09,2015-08-09,South,Office Supplies,Envelopes,200.984,62.8075,7
US-2017-119662,2017-11-13,2017-11-16,Central,Office Supplies,Storage,230.376,-48.9549,3
CA-2017-140088,2017-05-28,2017-05-30,South,Furniture,Chairs,301.96,33.2156,2
CA-2017-155558,2017-10-26,2017-02-11,Central,Technology,Accessories,19.99,6.7966,1
CA-2017-155558,2017-10-26,2017-02-11,Central,Office Supplies,Labels,6.16,2.9568,2
CA-2016-159695,2016-05-04,2016-10-04,Central,Office Supplies,Storage,158.368,13.8572,7
CA-2016-109806,2016-09-17,2016-09-22,West,Office Supplies,Art,20.1,6.633,3
CA-2016-109806,2016-09-17,2016-09-22,West,Technology,Phones,73.584,8.2782,2
CA-2016-109806,2016-09-17,2016-09-22,West,Office Supplies,Paper,6.48,3.1104,1
CA-2015-149587,2015-01-31,2015-05-02,Central,Office Supplies,Paper,12.96,6.2208,2
CA-2015-149587,2015-01-31,2015-05-02,Central,Furniture,Furnishings,53.34,16.5354,3
CA-2015-149587,2015-01-31,2015-05-02,Central,Office Supplies,Binders,32.96,16.1504,2
US-2017-109484,2017-06-11,2017-12-11,West,Office Supplies,Binders,5.682,-3.788,1
CA-2017-161018,2017-09-11,2017-11-11,East,Furniture,Furnishings,96.53,40.5426,7
CA-2017-157833,2017-06-17,2017-06-20,West,Office Supplies,Binders,51.312,17.9592,3
CA-2016-149223,2016-06-09,2016-11-09,Central,Office Supplies,Appliances,77.88,22.5852,6
CA-2016-158568,2016-08-29,2016-02-09,Central,Office Supplies,Paper,64.624,22.6184,7
CA-2016-158568,2016-08-29,2016-02-09,Central,Technology,Accessories,95.976,-10.7973,3
CA-2016-158568,2016-08-29,2016-02-09,Central,Office Supplies,Binders,1.788,-3.0396,3
CA-2016-129903,2016-01-12,2016-04-12,Central,Office Supplies,Paper,23.92,11.7208,4
US-2015-156867,2015-11-13,2015-11-17,West,Technology,Accessories,238.896,-26.8758,6
US-2015-156867,2015-11-13,2015-11-17,West,Furniture,Furnishings,102.36,-3.8385,3
US-2015-156867,2015-11-13,2015-11-17,West,Office Supplies,Binders,36.882,-25.8174,3
CA-2017-119004,2017-11-23,2017-11-28,South,Technology,Accessories,74.112,17.6016,8
CA-2017-119004,2017-11-23,2017-11-28,South,Technology,Phones,27.992,2.0994,1
CA-2017-119004,2017-11-23,2017-11-28,South,Office Supplies,Art,3.304,1.0738,1
CA-2015-129476,2015-10-15,2015-10-20,Central,Technology,Accessories,339.96,67.992,5
CA-2017-146780,2017-12-25,2017-12-30,East,Furniture,Furnishings,41.96,10.9096,2
CA-2016-128867,2016-03-11,2016-10-11,Central,Office Supplies,Art,75.96,22.788,2
CA-2016-128867,2016-03-11,2016-10-11,Central,Office Supplies,Binders,27.24,13.3476,6
CA-2014-115259,2014-08-25,2014-08-27,East,Office Supplies,Fasteners,40.096,14.5348,14
CA-2014-115259,2014-08-25,2014-08-27,East,Office Supplies,Envelopes,4.72,1.652,2
CA-2014-115259,2014-08-25,2014-08-27,East,Office Supplies,Paper,23.976,7.4925,3
CA-2014-115259,2014-08-25,2014-08-27,East,Office Supplies,Envelopes,130.464,44.0316,6
CA-2015-110457,2015-02-03,2015-06-03,West,Furniture,Tables,787.53,165.3813,3
US-2015-136476,2015-05-04,2015-10-04,South,Office Supplies,Binders,157.794,-115.7156,1
CA-2016-103730,2016-12-06,2016-06-15,East,Furniture,Furnishings,47.04,18.3456,3
CA-2016-103730,2016-12-06,2016-06-15,East,Office Supplies,Binders,30.84,13.878,4
CA-2016-103730,2016-12-06,2016-06-15,East,Office Supplies,Storage,226.56,63.4368,6
CA-2016-103730,2016-12-06,2016-06-15,East,Office Supplies,Envelopes,115.02,51.759,9
CA-2016-103730,2016-12-06,2016-06-15,East,Technology,Phones,68.04,19.7316,7
US-2014-152030,2014-12-26,2014-12-28,Central,Furniture,Chairs,600.558,-8.5794,3
US-2014-134614,2014-09-20,2014-09-25,Central,Furniture,Tables,617.7,-407.682,6
US-2017-107272,2017-05-11,2017-12-11,West,Office Supplies,Binders,2.388,-1.8308,2
US-2017-107272,2017-05-11,2017-12-11,West,Office Supplies,Storage,243.992,30.499,7
US-2016-125969,2016-06-11,2016-10-11,West,Furniture,Chairs,81.424,-9.1602,2
US-2016-125969,2016-06-11,2016-10-11,West,Furniture,Furnishings,238.56,26.2416,3
US-2017-164147,2017-02-02,2017-05-02,East,Technology,Phones,59.97,-11.994,5
US-2017-164147,2017-02-02,2017-05-02,East,Office Supplies,Paper,78.304,29.364,2
US-2017-164147,2017-02-02,2017-05-02,East,Office Supplies,Fasteners,21.456,6.9732,9
CA-2016-145583,2016-10-13,2016-10-19,West,Office Supplies,Paper,20.04,9.6192,3
CA-2016-145583,2016-10-13,2016-10-19,West,Office Supplies,Paper,35.44,16.6568,1
CA-2016-145583,2016-10-13,2016-10-19,West,Office Supplies,Art,11.52,3.456,4
CA-2016-145583,2016-10-13,2016-10-19,West,Office Supplies,Fasteners,4.02,1.9698,2
CA-2016-145583,2016-10-13,2016-10-19,West,Office Supplies,Binders,76.176,26.6616,3
CA-2016-145583,2016-10-13,2016-10-19,West,Office Supplies,Supplies,65.88,18.4464,6
CA-2016-145583,2016-10-13,2016-10-19,West,Furniture,Furnishings,43.12,20.6976,14
CA-2016-110366,2016-05-09,2016-07-09,East,Furniture,Furnishings,82.8,10.35,2
CA-2017-106180,2017-09-18,2017-09-23,West,Office Supplies,Art,8.82,2.3814,3
CA-2017-106180,2017-09-18,2017-09-23,West,Office Supplies,Envelopes,10.86,5.1042,3
CA-2017-106180,2017-09-18,2017-09-23,West,Office Supplies,Paper,143.7,68.976,3
CA-2017-155376,2017-12-22,2017-12-27,Central,Office Supplies,Appliances,839.43,218.2518,3
CA-2015-110744,2015-07-09,2015-12-09,West,Office Supplies,Storage,671.93,20.1579,7
CA-2014-110072,2014-10-22,2014-10-28,East,Furniture,Furnishings,93.888,12.9096,4
CA-2016-114489,2016-05-12,2016-09-12,Central,Technology,Phones,384.45,103.8015,11
CA-2016-114489,2016-05-12,2016-09-12,Central,Technology,Phones,149.97,5.9988,3
CA-2016-114489,2016-05-12,2016-09-12,Central,Furniture,Chairs,1951.84,585.552,8
CA-2016-114489,2016-05-12,2016-09-12,Central,Office Supplies,Binders,171.55,80.6285,5
CA-2016-158834,2016-03-13,2016-03-16,West,Office Supplies,Appliances,157.92,17.766,5
CA-2016-158834,2016-03-13,2016-03-16,West,Technology,Phones,203.184,15.2388,2
CA-2015-124919,2015-05-31,2015-02-06,West,Office Supplies,Paper,58.38,26.271,7
CA-2015-124919,2015-05-31,2015-02-06,West,Office Supplies,Paper,105.52,48.5392,4
CA-2015-124919,2015-05-31,2015-02-06,West,Office Supplies,Storage,80.88,21.0288,6
CA-2015-118948,2015-05-28,2015-03-06,West,Office Supplies,Art,6.63,1.7901,3
CA-2014-104269,2014-01-03,2014-06-03,West,Furniture,Chairs,457.568,51.4764,2
CA-2016-114104,2016-11-20,2016-11-24,Central,Office Supplies,Labels,14.62,6.8714,2
CA-2016-114104,2016-11-20,2016-11-24,Central,Technology,Phones,944.93,236.2325,7
CA-2016-162733,2016-11-05,2016-12-05,West,Office Supplies,Paper,5.98,2.691,1
CA-2015-119697,2015-12-28,2015-12-31,East,Technology,Accessories,54.384,1.3596,2
CA-2016-154508,2016-11-16,2016-11-20,West,Office Supplies,Envelopes,28.4,13.348,5
CA-2016-113817,2016-07-11,2016-11-11,West,Office Supplies,Binders,27.68,9.688,2
CA-2014-139892,2014-08-09,2014-12-09,Central,Office Supplies,Art,9.936,2.7324,3
CA-2014-139892,2014-08-09,2014-12-09,Central,Technology,Machines,8159.952,-1359.992,8
CA-2014-139892,2014-08-09,2014-12-09,Central,Office Supplies,Storage,275.928,-58.6347,3
CA-2014-139892,2014-08-09,2014-12-09,Central,Furniture,Chairs,1740.06,-24.858,9
CA-2014-139892,2014-08-09,2014-12-09,Central,Office Supplies,Art,32.064,6.8136,6
CA-2014-139892,2014-08-09,2014-12-09,Central,Office Supplies,Appliances,177.98,-453.849,5
CA-2014-139892,2014-08-09,2014-12-09,Central,Technology,Phones,143.976,8.9985,3
CA-2014-118962,2014-05-08,2014-09-08,West,Office Supplies,Paper,20.94,9.8418,3
CA-2014-118962,2014-05-08,2014-09-08,West,Office Supplies,Paper,110.96,53.2608,2
CA-2014-118962,2014-05-08,2014-09-08,West,Furniture,Chairs,340.144,21.259,7
US-2014-100853,2014-09-14,2014-09-19,Central,Office Supplies,Appliances,52.448,-131.12,2
US-2014-100853,2014-09-14,2014-09-19,Central,Office Supplies,Labels,20.16,6.552,4
US-2017-152366,2017-04-21,2017-04-25,Central,Office Supplies,Appliances,97.264,-243.16,4
US-2015-101511,2015-11-21,2015-11-23,East,Furniture,Chairs,396.802,-11.3372,7
US-2015-101511,2015-11-21,2015-11-23,East,Office Supplies,Supplies,15.88,-3.7715,5
CA-2015-137225,2015-12-15,2015-12-19,East,Office Supplies,Art,3.28,1.4104,1
CA-2014-166191,2014-05-12,2014-09-12,Central,Office Supplies,Storage,24.816,1.8612,2
CA-2014-166191,2014-05-12,2014-09-12,Central,Technology,Accessories,408.744,76.6395,7
CA-2014-158274,2014-11-19,2014-11-24,South,Technology,Phones,503.96,131.0296,4
CA-2014-158274,2014-11-19,2014-11-24,South,Technology,Phones,149.95,41.986,5
CA-2014-158274,2014-11-19,2014-11-24,South,Technology,Accessories,29,7.25,2
CA-2016-105018,2016-11-28,2016-02-12,East,Office Supplies,Binders,7.16,3.4368,2
CA-2014-123260,2014-08-26,2014-08-30,West,Technology,Accessories,176.8,22.984,8
CA-2016-157000,2016-07-16,2016-07-22,Central,Office Supplies,Storage,37.224,3.7224,3
CA-2016-157000,2016-07-16,2016-07-22,Central,Office Supplies,Paper,20.016,6.255,3
CA-2015-102281,2015-12-10,2015-10-14,East,Furniture,Bookcases,899.136,112.392,4
CA-2015-102281,2015-12-10,2015-10-14,East,Technology,Phones,71.76,20.0928,6
CA-2015-102281,2015-12-10,2015-10-14,East,Office Supplies,Paper,51.84,24.8832,8
CA-2015-102281,2015-12-10,2015-10-14,East,Furniture,Bookcases,626.352,46.9764,3
CA-2015-102281,2015-12-10,2015-10-14,East,Office Supplies,Art,19.9,6.567,5
CA-2015-131457,2015-10-31,2015-06-11,West,Office Supplies,Envelopes,14.28,6.7116,7
CA-2014-140004,2014-03-21,2014-03-25,East,Office Supplies,Art,7.408,1.2038,2
CA-2014-140004,2014-03-21,2014-03-25,East,Office Supplies,Art,6.048,1.5876,3
CA-2017-107720,2017-06-11,2017-11-13,East,Office Supplies,Storage,46.26,12.0276,3
US-2017-124303,2017-06-07,2017-07-13,East,Office Supplies,Binders,2.946,-2.2586,2
US-2017-124303,2017-06-07,2017-07-13,East,Office Supplies,Paper,16.056,5.8203,3
CA-2017-105074,2017-06-24,2017-06-29,East,Office Supplies,Paper,21.744,6.795,3
CA-2014-133690,2014-03-08,2014-05-08,West,Furniture,Tables,218.75,-161.875,2
CA-2014-133690,2014-03-08,2014-05-08,West,Office Supplies,Appliances,2.6,0.2925,1
US-2017-116701,2017-12-17,2017-12-21,Central,Office Supplies,Appliances,66.284,-178.9668,2
CA-2017-126382,2017-03-06,2017-07-06,South,Furniture,Furnishings,35.168,9.6712,7
CA-2017-108329,2017-09-12,2017-12-14,West,Technology,Phones,444.768,44.4768,4
CA-2017-135860,2017-01-12,2017-07-12,Central,Office Supplies,Storage,83.92,5.8744,4
CA-2017-135860,2017-01-12,2017-07-12,Central,Technology,Phones,131.98,35.6346,2
CA-2017-135860,2017-01-12,2017-07-12,Central,Office Supplies,Binders,15.92,7.4824,4
CA-2017-135860,2017-01-12,2017-07-12,Central,Office Supplies,Fasteners,52.29,16.2099,9
CA-2017-135860,2017-01-12,2017-07-12,Central,Office Supplies,Storage,91.99,3.6796,1
CA-2015-101007,2015-09-02,2015-02-13,Central,Technology,Accessories,20.8,6.5,2
CA-2015-146262,2015-02-01,2015-09-01,East,Office Supplies,Labels,23.68,8.88,2
CA-2015-146262,2015-02-01,2015-09-01,East,Furniture,Bookcases,452.45,-244.323,5
CA-2015-146262,2015-02-01,2015-09-01,East,Technology,Phones,62.982,-14.6958,3
CA-2015-146262,2015-02-01,2015-09-01,East,Technology,Machines,1188,-950.4,9
CA-2015-146262,2015-02-01,2015-09-01,East,Technology,Accessories,89.584,4.4792,2
CA-2016-130162,2016-10-28,2016-01-11,West,Office Supplies,Storage,93.06,26.0568,6
CA-2016-130162,2016-10-28,2016-01-11,West,Technology,Phones,302.376,22.6782,3
CA-2015-169397,2015-12-24,2015-12-27,East,Office Supplies,Fasteners,5.584,1.8148,2
CA-2015-169397,2015-12-24,2015-12-27,East,Office Supplies,Paper,22.704,8.2302,6
CA-2015-169397,2015-12-24,2015-12-27,East,Office Supplies,Binders,19.776,-13.8432,4
CA-2015-169397,2015-12-24,2015-12-27,East,Furniture,Furnishings,72.704,19.0848,4
CA-2015-169397,2015-12-24,2015-12-27,East,Technology,Machines,479.988,-383.9904,4
CA-2015-169397,2015-12-24,2015-12-27,East,Office Supplies,Art,27.168,2.7168,2
CA-2015-163055,2015-09-08,2015-08-16,Central,Office Supplies,Art,2.2,0.968,1
CA-2015-163055,2015-09-08,2015-08-16,Central,Furniture,Tables,622.45,136.939,5
CA-2015-163055,2015-09-08,2015-08-16,Central,Office Supplies,Storage,21.98,0.2198,1
US-2015-145436,2015-02-28,2015-04-03,South,Furniture,Chairs,161.568,-28.2744,2
US-2015-145436,2015-02-28,2015-04-03,South,Furniture,Chairs,389.696,43.8408,8
US-2014-156216,2014-09-13,2014-09-17,South,Office Supplies,Binders,18.648,-12.432,7
US-2017-100930,2017-07-04,2017-12-04,South,Furniture,Tables,233.86,-102.048,2
US-2017-100930,2017-07-04,2017-12-04,South,Furniture,Tables,620.6145,-248.2458,3
US-2017-100930,2017-07-04,2017-12-04,South,Office Supplies,Binders,5.328,-3.552,2
US-2017-100930,2017-07-04,2017-12-04,South,Furniture,Furnishings,258.072,0,3
US-2017-100930,2017-07-04,2017-12-04,South,Technology,Accessories,617.976,-7.7247,3
CA-2017-160514,2017-12-11,2017-11-16,West,Office Supplies,Paper,10.56,4.752,2
CA-2016-157749,2016-04-06,2016-09-06,Central,Office Supplies,Paper,25.92,9.396,5
CA-2016-157749,2016-04-06,2016-09-06,Central,Furniture,Furnishings,419.68,-356.728,5
CA-2016-157749,2016-04-06,2016-09-06,Central,Furniture,Furnishings,11.688,-4.6752,3
CA-2016-157749,2016-04-06,2016-09-06,Central,Technology,Phones,31.984,11.1944,2
CA-2016-157749,2016-04-06,2016-09-06,Central,Furniture,Tables,177.225,-120.513,5
CA-2016-157749,2016-04-06,2016-09-06,Central,Furniture,Furnishings,4.044,-2.8308,3
CA-2016-157749,2016-04-06,2016-09-06,Central,Office Supplies,Art,7.408,1.2038,2
CA-2014-131926,2014-01-06,2014-06-06,Central,Furniture,Chairs,2001.86,580.5394,7
CA-2014-131926,2014-01-06,2014-06-06,Central,Office Supplies,Storage,166.72,41.68,2
CA-2014-131926,2014-01-06,2014-06-06,Central,Office Supplies,Paper,47.88,23.94,6
CA-2014-131926,2014-01-06,2014-06-06,Central,Office Supplies,Appliances,1503.25,496.0725,5
CA-2014-131926,2014-01-06,2014-06-06,Central,Office Supplies,Paper,25.92,12.4416,4
CA-2016-154739,2016-10-12,2016-12-15,West,Furniture,Chairs,321.568,28.1372,2
CA-2016-145625,2016-11-09,2016-09-17,West,Office Supplies,Paper,7.61,3.5767,1
CA-2016-145625,2016-11-09,2016-09-17,West,Technology,Accessories,3347.37,636.0003,13
CA-2016-146941,2016-10-12,2016-12-13,East,Office Supplies,Storage,80.58,22.5624,6
CA-2016-146941,2016-10-12,2016-12-13,East,Office Supplies,Envelopes,361.92,162.864,4
US-2015-159982,2015-11-28,2015-04-12,Central,Furniture,Furnishings,12.132,-8.4924,9
US-2015-159982,2015-11-28,2015-04-12,Central,Office Supplies,Storage,82.368,-19.5624,2
US-2015-159982,2015-11-28,2015-04-12,Central,Office Supplies,Storage,53.92,4.044,5
US-2015-159982,2015-11-28,2015-04-12,Central,Technology,Phones,647.904,56.6916,6
CA-2017-163139,2017-01-12,2017-03-12,East,Technology,Accessories,20.37,6.9258,3
CA-2017-163139,2017-01-12,2017-03-12,East,Office Supplies,Storage,221.55,6.6465,3
CA-2017-163139,2017-01-12,2017-03-12,East,Office Supplies,Binders,17.52,6.132,5
US-2017-155299,2017-08-06,2017-12-06,Central,Office Supplies,Appliances,1.624,-4.466,2
US-2014-106992,2014-09-19,2014-09-21,Central,Technology,Machines,3059.982,-509.997,3
US-2014-106992,2014-09-19,2014-09-21,Central,Technology,Machines,2519.958,-251.9958,7
CA-2016-125318,2016-06-06,2016-06-13,Central,Technology,Phones,328.224,28.7196,4
CA-2015-155040,2015-10-11,2015-11-15,West,Technology,Accessories,79.9,35.156,2
CA-2017-136826,2017-06-16,2017-06-20,South,Office Supplies,Art,14.016,4.7304,3
CA-2016-111010,2016-01-22,2016-01-28,East,Office Supplies,Fasteners,7.56,0.3024,6
US-2017-145366,2017-09-12,2017-12-13,East,Office Supplies,Storage,37.208,-7.4416,1
US-2017-145366,2017-09-12,2017-12-13,East,Office Supplies,Envelopes,57.576,21.591,3
CA-2017-163979,2017-12-28,2018-02-01,West,Office Supplies,Storage,725.84,210.4936,4
CA-2015-155334,2015-07-30,2015-07-31,West,Technology,Accessories,209.93,92.3692,7
CA-2015-155334,2015-07-30,2015-07-31,West,Furniture,Furnishings,5.28,2.3232,3
CA-2015-155334,2015-07-30,2015-07-31,West,Office Supplies,Binders,10.92,4.095,3
CA-2017-118136,2017-09-16,2017-09-17,West,Office Supplies,Paper,8.82,4.0572,2
CA-2017-118136,2017-09-16,2017-09-17,West,Office Supplies,Art,5.98,1.5548,1
CA-2017-132976,2017-10-13,2017-10-17,East,Office Supplies,Paper,11.648,4.0768,2
CA-2017-132976,2017-10-13,2017-10-17,East,Office Supplies,Paper,18.176,5.9072,4
CA-2017-132976,2017-10-13,2017-10-17,East,Office Supplies,Storage,59.712,5.9712,6
CA-2017-132976,2017-10-13,2017-10-17,East,Office Supplies,Labels,24.84,8.694,3
US-2015-161991,2015-09-26,2015-09-28,Central,Office Supplies,Binders,2.08,-3.432,5
US-2015-161991,2015-09-26,2015-09-28,Central,Technology,Phones,1114.4,376.11,7
CA-2015-130890,2015-02-11,2015-06-11,West,Furniture,Tables,1038.84,51.942,5
CA-2015-130883,2015-09-26,2015-02-10,West,Office Supplies,Paper,141.76,47.844,5
CA-2015-130883,2015-09-26,2015-02-10,West,Technology,Accessories,239.8,47.96,5
CA-2015-130883,2015-09-26,2015-02-10,West,Office Supplies,Paper,31.104,10.8864,6
CA-2016-112697,2016-12-18,2016-12-20,South,Office Supplies,Binders,254.058,-169.372,7
CA-2016-112697,2016-12-18,2016-12-20,South,Office Supplies,Appliances,194.528,24.316,2
CA-2016-112697,2016-12-18,2016-12-20,South,Office Supplies,Supplies,961.48,-204.3145,5
CA-2016-110772,2016-11-20,2016-11-24,East,Office Supplies,Fasteners,19.096,6.6836,7
CA-2016-110772,2016-11-20,2016-11-24,East,Office Supplies,Labels,18.496,6.2424,8
CA-2016-110772,2016-11-20,2016-11-24,East,Technology,Accessories,255.984,54.3966,2
CA-2016-110772,2016-11-20,2016-11-24,East,Furniture,Bookcases,86.97,-48.7032,3
CA-2014-111451,2014-12-26,2014-12-28,West,Furniture,Furnishings,300.416,78.8592,8
CA-2014-111451,2014-12-26,2014-12-28,West,Furniture,Chairs,230.352,20.1558,3
CA-2014-111451,2014-12-26,2014-12-28,West,Furniture,Furnishings,218.352,-24.5646,3
CA-2014-111451,2014-12-26,2014-12-28,West,Office Supplies,Binders,78.6,-62.88,5
CA-2014-111451,2014-12-26,2014-12-28,West,Office Supplies,Fasteners,27.552,9.2988,3
CA-2016-142545,2016-10-28,2016-03-11,East,Office Supplies,Paper,32.4,15.552,5
